market_id,contrast,config_a,config_b,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,t,p_value,cohen_dz
fed_decision_in_december,news_shown_minus_hidden,1,2,20,0.0,0.0,0.0,0.0,1.0,
fed_decision_in_october,news_shown_minus_hidden,1,2,20,0.0009999999999999898,-0.0012776588635733035,0.0032776588635732833,0.9189365834726705,0.3696482585926891,0.2054804667656301
fed_decision_in_september,news_shown_minus_hidden,1,2,20,0.03725000000000002,0.02328211271244305,0.05121788728755699,5.581742207797118,2.205318327585561e-05,1.2481155009514113
fed_interest_rates_january_2025,news_shown_minus_hidden,1,2,20,-0.0025000000000000135,-0.004537200019401935,-0.0004627999805980926,-2.568505834570417,0.018805301440743716,-0.5743353646704281
new_york_city_mayoral_election,news_shown_minus_hidden,1,2,20,-0.04842500000000001,-0.07177088298722967,-0.025079117012770352,-4.341437412761985,0.0003515822032290699,-0.9707749174996612
who_will_be_inaugurated_as_president,news_shown_minus_hidden,1,2,20,0.004624999999999974,0.0033571373297589073,0.00589286267024104,7.63508263067467,3.329204152189986e-07,1.7072563776016483
fed_decision_in_december,news_shown_minus_hidden,3,4,20,-0.04875,-0.0719885083881411,-0.02551149161185891,-4.390769017880459,0.0003142479500845179,-0.9818057997480696
fed_decision_in_october,news_shown_minus_hidden,3,4,20,-0.000500000000000006,-0.003469703828327622,0.00246970382832761,-0.35239609324728804,0.728420007519717,-0.07879816195062907
fed_decision_in_september,news_shown_minus_hidden,3,4,20,0.03000000000000001,0.01600068189915924,0.043999318100840776,4.48527000957841,0.000253519890809172,1.0029368638858456
fed_interest_rates_january_2025,news_shown_minus_hidden,3,4,20,-0.0016000000000000124,-0.003129031373473266,-7.096862652675867e-05,-2.190169897852589,0.04118871209512517,-0.489736877387216
new_york_city_mayoral_election,news_shown_minus_hidden,3,4,20,-0.05237500000000002,-0.07506257016611258,-0.029687429833887457,-4.831814691789826,0.00011587451852335745,-1.0804266105524245
who_will_be_inaugurated_as_president,news_shown_minus_hidden,3,4,20,0.0033249999999999834,0.0017501453392588897,0.004899854660741077,4.419014118822043,0.0002946989714963462,0.9881215963217421
fed_decision_in_december,news_shown_minus_hidden,5,6,20,-0.06599999999999999,-0.0979738743152323,-0.03402612568476768,-4.320389397575722,0.0003688431478874843,-0.9660684382248678
fed_decision_in_october,news_shown_minus_hidden,5,6,20,0.001024999999999987,-0.0009671017215454783,0.003017101721545452,1.0769277655681833,0.2949969853420704,0.24080836906674152
fed_decision_in_september,news_shown_minus_hidden,5,6,20,0.033000000000000015,0.019907038057256052,0.04609296194274398,5.275337551389757,4.314232479742281e-05,1.1796013369164786
fed_interest_rates_january_2025,news_shown_minus_hidden,5,6,20,-0.0013000000000000123,-0.0025298420519403756,-7.015794805964874e-05,-2.2124233485413205,0.039381181128068904,-0.4947129002346102
new_york_city_mayoral_election,news_shown_minus_hidden,5,6,20,-0.04617500000000001,-0.06986828178270549,-0.022481718217294527,-4.0790206522951316,0.000639668038621235,-0.9120967460157449
who_will_be_inaugurated_as_president,news_shown_minus_hidden,5,6,20,0.004399999999999976,0.002519340817126935,0.006280659182873017,4.89684995732595,0.00010013720640957173,1.0949689380197767
fed_decision_in_december,news_shown_minus_hidden,7,8,20,-0.10049999999999999,-0.16029017204585302,-0.04070982795414696,-3.518118618336114,0.0022988299456985443,-0.7866752383507188
fed_decision_in_october,news_shown_minus_hidden,7,8,20,0.27499999999999997,0.24234472934696646,0.30765527065303344,17.625994317361947,3.1247718248086564e-13,3.941292146464631
fed_decision_in_september,news_shown_minus_hidden,7,8,20,0.35649999999999993,0.3084761331348387,0.4045238668651612,15.537338496535433,2.9588138276026327e-12,3.4742545067677613
fed_interest_rates_january_2025,news_shown_minus_hidden,7,8,20,0.23714999999999997,0.17777275899366218,0.29652724100633776,8.35944287896351,8.671943866023333e-08,1.869228253138895
new_york_city_mayoral_election,news_shown_minus_hidden,7,8,20,0.6849999999999998,0.6237426905574354,0.7462573094425643,23.404904497380237,1.7955297778020606e-15,5.2334957463032765
who_will_be_inaugurated_as_president,news_shown_minus_hidden,7,8,20,-0.0020000000000000018,-0.006186048108816624,0.00218604810881662,-1.0,0.3298768009211252,-0.22360679774997894
fed_decision_in_december,news_shown_minus_hidden,9,10,20,-0.09549999999999999,-0.16078361722246212,-0.030216382777537854,-3.0617757670330104,0.006418734609403325,-0.6846338746947371
fed_decision_in_october,news_shown_minus_hidden,9,10,20,0.27249999999999996,0.24168372542471173,0.3033162745752882,18.508046890380136,1.2972337052296022e-13,4.138525097764359
fed_decision_in_september,news_shown_minus_hidden,9,10,20,0.35649999999999993,0.3084761331348387,0.4045238668651612,15.537338496535433,2.9588138276026327e-12,3.4742545067677613
fed_interest_rates_january_2025,news_shown_minus_hidden,9,10,20,0.26065000000000005,0.2015711457754909,0.3197288542245092,9.234212933588058,1.8691647880684924e-08,2.064832783821065
new_york_city_mayoral_election,news_shown_minus_hidden,9,10,20,0.67,0.5927981526172849,0.7472018473827152,18.16441139681245,1.8187937650873783e-13,4.0616858654544545
who_will_be_inaugurated_as_president,news_shown_minus_hidden,9,10,20,-0.024,-0.07534480549861511,0.027344805498615107,-0.9783380581148426,0.3402006884965843,-0.2187630402919928
fed_decision_in_december,news_shown_minus_hidden,11,12,20,-0.10049999999999996,-0.16218817104237507,-0.03881182895762487,-3.4098744364384084,0.002938095624156027,-0.7624711034615068
fed_decision_in_october,news_shown_minus_hidden,11,12,20,0.27999999999999997,0.2502060706329227,0.3097939293670772,19.67000485279785,4.3086074392710915e-14,4.3983467968606735
fed_decision_in_september,news_shown_minus_hidden,11,12,20,0.36649999999999994,0.3269833662746138,0.4060166337253861,19.41190945745593,5.4752457922355507e-14,4.340634911994251
fed_interest_rates_january_2025,news_shown_minus_hidden,11,12,20,0.28065000000000007,0.22715431121559587,0.33414568878440426,10.98045869148508,1.1429900915873844e-09,2.455305205828903
new_york_city_mayoral_election,news_shown_minus_hidden,11,12,20,0.63,0.5443056601694851,0.7156943398305149,15.387307456771987,3.512107602872525e-12,3.440706546403157
who_will_be_inaugurated_as_president,news_shown_minus_hidden,11,12,20,-0.0015000000000000013,-0.0058679878364037855,0.002867987836403783,-0.7187602619784956,0.4810354618668595,-0.16071968053094737
