market_id,contrast,config_a,config_b,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,t,p_value,cohen_dz
fed_decision_in_december,market_probs_shown_minus_hidden,1,7,20,0.10049999999999999,0.04070982795414696,0.16029017204585302,3.518118618336114,0.0022988299456985443,0.7866752383507188
fed_decision_in_october,market_probs_shown_minus_hidden,1,7,20,0.16872499999999999,0.1429835946449033,0.19446640535509668,13.718966727281664,2.617738738395004e-11,3.0676542183259623
fed_decision_in_september,market_probs_shown_minus_hidden,1,7,20,0.023749999999999986,-0.006283590130989648,0.05378359013098962,1.6551241818042126,0.11432386598906849,0.370097018171794
fed_interest_rates_january_2025,market_probs_shown_minus_hidden,1,7,20,0.17724999999999996,0.12087235789862699,0.23362764210137293,6.5804191132505325,2.6764701113235545e-06,1.4714264457667077
new_york_city_mayoral_election,market_probs_shown_minus_hidden,1,7,20,0.08472500000000001,0.06228913206380292,0.1071608679361971,7.903927029435078,2.0044372870452726e-07,1.7673718127014812
who_will_be_inaugurated_as_president,market_probs_shown_minus_hidden,1,7,20,0.005925000000000008,0.0026680672849136327,0.009181932715086384,3.8076216511707583,0.0011889086612149827,0.8514100844617807
fed_decision_in_december,market_probs_shown_minus_hidden,2,8,20,0.0,0.0,0.0,0.0,1.0,
fed_decision_in_october,market_probs_shown_minus_hidden,2,8,20,0.442725,0.42936112250103303,0.4560888774989669,69.33871360011722,2.5761619814677532e-24,15.504607708225125
fed_decision_in_september,market_probs_shown_minus_hidden,2,8,20,0.343,0.32225787539952483,0.3637421246004752,34.611075986189135,1.2533972673012621e-18,7.739271867952947
fed_interest_rates_january_2025,market_probs_shown_minus_hidden,2,8,20,0.41689999999999994,0.3902876898439897,0.44351231015601017,32.78865018359769,3.44687064073939e-18,7.331765070098538
new_york_city_mayoral_election,market_probs_shown_minus_hidden,2,8,20,0.8181499999999999,0.7718937634024348,0.8644062365975651,37.02003786024162,3.553103356131201e-19,8.277932118511613
who_will_be_inaugurated_as_president,market_probs_shown_minus_hidden,2,8,20,-0.0006999999999999674,-0.0026242885227757955,0.0012242885227758608,-0.7613810614908646,0.4557765103487833,-0.17024998102745204
fed_decision_in_december,market_probs_shown_minus_hidden,3,9,20,0.34575000000000006,0.2490298451697005,0.4424701548302996,7.482029656397642,4.463360017790353e-07,1.6730326921374519
fed_decision_in_october,market_probs_shown_minus_hidden,3,9,20,0.169725,0.14526239772457938,0.1941876022754206,14.521697390771255,9.71945906036452e-12,3.247150251444585
fed_decision_in_september,market_probs_shown_minus_hidden,3,9,20,0.01649999999999998,-0.014049510778351811,0.047049510778351775,1.1304566265659945,0.2723527450742733,0.2527777862616658
fed_interest_rates_january_2025,market_probs_shown_minus_hidden,3,9,20,0.18214999999999998,0.1236321854436057,0.24066781455639424,6.515013152841923,3.060845250147961e-06,1.456801228405977
new_york_city_mayoral_election,market_probs_shown_minus_hidden,3,9,20,0.0758,0.05444899477074881,0.0971510052292512,7.430620789076257,4.928730231961409e-07,1.6615373199397636
who_will_be_inaugurated_as_president,market_probs_shown_minus_hidden,3,9,20,0.027225000000000006,-0.02269335667065639,0.0771433566706564,1.1415155402093273,0.2678387844133647,0.25525063452804503
fed_decision_in_december,market_probs_shown_minus_hidden,4,10,20,0.29900000000000004,0.21159538723911603,0.38640461276088406,7.159967563498589,8.357165082980981e-07,1.6010174188676387
fed_decision_in_october,market_probs_shown_minus_hidden,4,10,20,0.442725,0.42936112250103303,0.4560888774989669,69.33871360011722,2.5761619814677532e-24,15.504607708225125
fed_decision_in_september,market_probs_shown_minus_hidden,4,10,20,0.343,0.32225787539952483,0.3637421246004752,34.611075986189135,1.2533972673012621e-18,7.739271867952947
fed_interest_rates_january_2025,market_probs_shown_minus_hidden,4,10,20,0.4444,0.42364459624242934,0.4651554037575707,44.81434814004894,9.796844970051407e-21,10.020792880849072
new_york_city_mayoral_election,market_probs_shown_minus_hidden,4,10,20,0.798175,0.7377198391898084,0.8586301608101915,27.633694993756805,8.338627303180814e-17,6.179082047553584
who_will_be_inaugurated_as_president,market_probs_shown_minus_hidden,4,10,20,-9.999999999997789e-05,-0.0018895693869944686,0.0016895693869945127,-0.1169568539570849,0.9081216962742212,-0.026152347588255707
fed_decision_in_december,market_probs_shown_minus_hidden,5,11,20,0.3335,0.24489838710714543,0.42210161289285464,7.878225907572211,2.1031809357003053e-07,1.7616248671431438
fed_decision_in_october,market_probs_shown_minus_hidden,5,11,20,0.16374999999999998,0.14187874197141054,0.18562125802858942,15.670460677723746,2.5443383362977207e-12,3.504021531412772
fed_decision_in_september,market_probs_shown_minus_hidden,5,11,20,0.009499999999999991,-0.012146415240162568,0.03114641524016255,0.9185691162380935,0.3698356144880999,0.20539829859402825
fed_interest_rates_january_2025,market_probs_shown_minus_hidden,5,11,20,0.18245,0.1262596485631054,0.2386403514368946,6.79604645569201,1.7265901089323751e-06,1.5196421853173845
new_york_city_mayoral_election,market_probs_shown_minus_hidden,5,11,20,0.077,0.05195265544820032,0.10204734455179967,6.434328870916579,3.6147099356160844e-06,1.438759674495894
who_will_be_inaugurated_as_president,market_probs_shown_minus_hidden,5,11,20,0.005400000000000011,0.00190709463438472,0.008892905365615301,3.2357961956446917,0.004350352229172645,0.723546025479674
fed_decision_in_december,market_probs_shown_minus_hidden,6,12,20,0.29900000000000004,0.21159538723911603,0.38640461276088406,7.159967563498589,8.357165082980981e-07,1.6010174188676387
fed_decision_in_october,market_probs_shown_minus_hidden,6,12,20,0.442725,0.42936112250103303,0.4560888774989669,69.33871360011722,2.5761619814677532e-24,15.504607708225125
fed_decision_in_september,market_probs_shown_minus_hidden,6,12,20,0.343,0.32225787539952483,0.3637421246004752,34.611075986189135,1.2533972673012621e-18,7.739271867952947
fed_interest_rates_january_2025,market_probs_shown_minus_hidden,6,12,20,0.4643999999999999,0.45118530321857475,0.4776146967814251,73.55449670502307,8.42675255661843e-25,16.447285468321585
new_york_city_mayoral_election,market_probs_shown_minus_hidden,6,12,20,0.7531749999999999,0.6701317717943936,0.8362182282056062,18.983045652752615,8.206115523939527e-14,4.244738049953671
who_will_be_inaugurated_as_president,market_probs_shown_minus_hidden,6,12,20,-0.0004999999999999672,-0.0023410097412086125,0.001341009741208678,-0.5684445898244067,0.5763907232283777,-0.12710807442893587
